"ID","Group","time","rats","week"
1,1,"WD1","240",NA
2,1,"WD1","225",NA
3,1,"WD1","245",NA
4,1,"WD1","260",NA
5,1,"WD1","255",NA
6,1,"WD1","260",NA
7,1,"WD1","275",NA
8,1,"WD1","245",NA
9,2,"WD1","410",NA
10,2,"WD1","405",NA
11,2,"WD1","445",NA
12,2,"WD1","555",NA
13,3,"WD1","470",NA
14,3,"WD1","535",NA
15,3,"WD1","520",NA
16,3,"WD1","510",NA
1,1,"WD8","250",NA
2,1,"WD8","230",NA
3,1,"WD8","250",NA
4,1,"WD8","255",NA
5,1,"WD8","260",NA
6,1,"WD8","265",NA
7,1,"WD8","275",NA
8,1,"WD8","255",NA
9,2,"WD8","415",NA
10,2,"WD8","420",NA
11,2,"WD8","445",NA
12,2,"WD8","560",NA
13,3,"WD8","465",NA
14,3,"WD8","525",NA
15,3,"WD8","525",NA
16,3,"WD8","510",NA
1,1,"WD15","255",NA
2,1,"WD15","230",NA
3,1,"WD15","250",NA
4,1,"WD15","255",NA
5,1,"WD15","255",NA
6,1,"WD15","270",NA
7,1,"WD15","260",NA
8,1,"WD15","260",NA
9,2,"WD15","425",NA
10,2,"WD15","430",NA
11,2,"WD15","450",NA
12,2,"WD15","565",NA
13,3,"WD15","475",NA
14,3,"WD15","530",NA
15,3,"WD15","530",NA
16,3,"WD15","520",NA
1,1,"WD22","260",NA
2,1,"WD22","232",NA
3,1,"WD22","255",NA
4,1,"WD22","265",NA
5,1,"WD22","270",NA
6,1,"WD22","275",NA
7,1,"WD22","270",NA
8,1,"WD22","268",NA
9,2,"WD22","428",NA
10,2,"WD22","440",NA
11,2,"WD22","452",NA
12,2,"WD22","580",NA
13,3,"WD22","485",NA
14,3,"WD22","533",NA
15,3,"WD22","540",NA
16,3,"WD22","515",NA
1,1,"WD29","262",NA
2,1,"WD29","240",NA
3,1,"WD29","262",NA
4,1,"WD29","265",NA
5,1,"WD29","270",NA
6,1,"WD29","275",NA
7,1,"WD29","273",NA
8,1,"WD29","270",NA
9,2,"WD29","438",NA
10,2,"WD29","448",NA
11,2,"WD29","455",NA
12,2,"WD29","590",NA
13,3,"WD29","487",NA
14,3,"WD29","535",NA
15,3,"WD29","543",NA
16,3,"WD29","530",NA
1,1,"WD36","258",NA
2,1,"WD36","240",NA
3,1,"WD36","265",NA
4,1,"WD36","268",NA
5,1,"WD36","273",NA
6,1,"WD36","277",NA
7,1,"WD36","274",NA
8,1,"WD36","265",NA
9,2,"WD36","443",NA
10,2,"WD36","460",NA
11,2,"WD36","455",NA
12,2,"WD36","597",NA
13,3,"WD36","493",NA
14,3,"WD36","540",NA
15,3,"WD36","546",NA
16,3,"WD36","538",NA
1,1,"WD43","266",NA
2,1,"WD43","243",NA
3,1,"WD43","267",NA
4,1,"WD43","270",NA
5,1,"WD43","274",NA
6,1,"WD43","278",NA
7,1,"WD43","276",NA
8,1,"WD43","265",NA
9,2,"WD43","442",NA
10,2,"WD43","458",NA
11,2,"WD43","451",NA
12,2,"WD43","595",NA
13,3,"WD43","493",NA
14,3,"WD43","525",NA
15,3,"WD43","538",NA
16,3,"WD43","535",NA
1,1,"WD44","266",NA
2,1,"WD44","244",NA
3,1,"WD44","267",NA
4,1,"WD44","272",NA
5,1,"WD44","273",NA
6,1,"WD44","278",NA
7,1,"WD44","271",NA
8,1,"WD44","267",NA
9,2,"WD44","446",NA
10,2,"WD44","464",NA
11,2,"WD44","450",NA
12,2,"WD44","595",NA
13,3,"WD44","504",NA
14,3,"WD44","530",NA
15,3,"WD44","544",NA
16,3,"WD44","542",NA
1,1,"WD50","265",NA
2,1,"WD50","238",NA
3,1,"WD50","264",NA
4,1,"WD50","274",NA
5,1,"WD50","276",NA
6,1,"WD50","284",NA
7,1,"WD50","282",NA
8,1,"WD50","273",NA
9,2,"WD50","456",NA
10,2,"WD50","475",NA
11,2,"WD50","462",NA
12,2,"WD50","612",NA
13,3,"WD50","507",NA
14,3,"WD50","543",NA
15,3,"WD50","553",NA
16,3,"WD50","550",NA
1,1,"WD57","272",NA
2,1,"WD57","247",NA
3,1,"WD57","268",NA
4,1,"WD57","273",NA
5,1,"WD57","278",NA
6,1,"WD57","279",NA
7,1,"WD57","281",NA
8,1,"WD57","274",NA
9,2,"WD57","468",NA
10,2,"WD57","484",NA
11,2,"WD57","466",NA
12,2,"WD57","618",NA
13,3,"WD57","518",NA
14,3,"WD57","544",NA
15,3,"WD57","555",NA
16,3,"WD57","553",NA
1,1,"WD64","278",NA
2,1,"WD64","245",NA
3,1,"WD64","269",NA
4,1,"WD64","275",NA
5,1,"WD64","280",NA
6,1,"WD64","281",NA
7,1,"WD64","284",NA
8,1,"WD64","278",NA
9,2,"WD64","478",NA
10,2,"WD64","496",NA
11,2,"WD64","472",NA
12,2,"WD64","628",NA
13,3,"WD64","525",NA
14,3,"WD64","559",NA
15,3,"WD64","548",NA
16,3,"WD64","569",NA
1,1,"treatment","1",NA
2,1,"treatment","2",NA
3,1,"treatment","3",NA
4,1,"treatment","4",NA
5,1,"treatment","5",NA
6,1,"treatment","6",NA
7,1,"treatment","7",NA
8,1,"treatment","8",NA
9,2,"treatment","9",NA
10,2,"treatment","10",NA
11,2,"treatment","11",NA
12,2,"treatment","12",NA
13,3,"treatment","13",NA
14,3,"treatment","14",NA
15,3,"treatment","15",NA
16,3,"treatment","16",NA
1,1,"subject","1",NA
2,1,"subject","1",NA
3,1,"subject","1",NA
4,1,"subject","1",NA
5,1,"subject","1",NA
6,1,"subject","1",NA
7,1,"subject","1",NA
8,1,"subject","1",NA
9,2,"subject","2",NA
10,2,"subject","2",NA
11,2,"subject","2",NA
12,2,"subject","2",NA
13,3,"subject","3",NA
14,3,"subject","3",NA
15,3,"subject","3",NA
16,3,"subject","3",NA
